DATE,SHARE CODE,ISSUER NAME,BANK,GOVERNMENT,PRIVATE EQUITY,TRUSTEE BANK,VENTURE CAPITAL,PRIVATE BANK,EXCHANGE TRADED FUNDS,INVESTMENT MANAGER,INVESTMENT ADVISORS,BROKERAGE FIRMS,HEDGE FUND,SOVEREIGN WEALTH FUND,CAPITAL MARKET SUPPORTING INSTITUTIONS AND PROFESSIONS,COMMANDITAIRE VENNOOTSCHAP (CV) OR LIMITED PARTNERSHIP,FIRM,INVESTMENT FUND SELLING AGENT,PEER TO PEER LENDING,PERMANENT ESTABLISHMENT,SOLE PROPRIETORSHIP,CORPORATE,ASSOCIATION/SOCIAL ORGANIZATIONS,STATE OWNED ENTERPRISES,CENTRAL BANK,STATE OWNED COMPANY,DIOCESE,CONFERENCE,CONGREGATION,COOPERATIVES,INTERNATIONAL ORGANIZATION,POLITICAL PARTIES,PARTNERSHIP,EDUCATIONAL INSTITUTION,MUTUAL FUNDS (MF),SECURITIES COMPANY (SC),PENSION FUNDS (PF),FINANCIAL INSTITUTIONAL (IB),INSURANCE (IS),FOUNDATION (FD),INDIVIDUAL (ID),TOTAL SCRIPLESS
31-Mar-2026,MKPI,METROPOLITAN KENTJANA Tbk,1112939,0,0,0,0,0,18100,0,0,59,0,17100,100,0,0,0,0,0,0,88479158,0,0,0,0,0,0,0,0,0,0,5548396,0,2283600,35952278,29966,10100,900000,0,24063258,158415054
31-Mar-2026,MKTR,MENTHOBI KARYATAMA RAYA Tbk,5378300,0,3360000,0,0,154500000,0,0,1066500,0,0,0,200,0,0,0,0,0,0,1738749567,0,0,0,0,0,0,0,0,0,0,0,0,0,66300,100000,0,0,100,9218417617,11121638584
31-Mar-2026,MLBI,MULTI BINTANG INDONESIA Tbk,31532100,0,20000,284600,22798300,11542500,0,8122400,4790200,293300,0,14852420,665100,677100,182000,0,0,0,0,170308000,0,0,0,1061900,0,0,0,0,0,0,399100,0,13471000,11336780,6774900,200000,10650500,114100,50421400,360497700
31-Mar-2026,MLIA,MULIA INDUSTRINDO Tbk,102705402,21163033,2000,0,0,331592500,1019500,5414500,4377280,17560,0,488700,100100,0,0,0,0,0,0,5620710510,0,0,0,0,0,0,0,190,0,0,209971100,0,65911855,1722809,43621376,18750050,170000,2500,127839065,6555580030
31-Mar-2026,MLPL,MULTIPOLAR Tbk,19848157,50,24500,0,63,3043282348,0,6113889,1616173818,20332,0,0,13325610,750000,713125,0,0,0,0,361298875,0,0,0,2550000,0,0,0,97450,0,0,0,0,155806455,41626342,318351,2799164,1600188,5095058,5367054711,10638498486
31-Mar-2026,MLPT,MULTIPOLAR TECHNOLOGY Tbk,77665,0,0,0,0,2790000,9800,0,88447000,0,0,0,100,4000,0,0,0,0,0,1748942100,0,0,0,0,0,0,0,0,0,0,31000000,0,25700,2067235,0,0,0,0,1636400,1875000000
31-Mar-2026,MMIX,MULTI MEDIKA INTERNASIONAL Tbk,301300,0,0,0,0,0,0,0,189347200,0,0,0,200,13200,0,0,0,0,0,3025774290,0,0,0,0,0,0,0,0,0,0,0,0,0,124820712,0,0,0,0,1460168478,4800425380
31-Mar-2026,MMLP,MEGA MANUNGGAL PROPERTY Tbk,1559945,0,1092607,0,0,500000,0,0,5152700,1,0,0,734100,100,0,0,0,0,0,6469272599,0,0,0,0,0,0,0,0,0,0,0,0,0,32306036,563800,0,100000,0,376852720,6888134608
31-Mar-2026,MNCN,MEDIA NUSANTARA CITRA Tbk,208117969,28536000,106149600,141586800,500,2945000,11155000,22303200,644188696,4300109,62386800,917400,3975200,8395900,85000,0,0,0,6978900,7378619596,3300,145210600,0,55000,0,0,0,0,0,0,166014923,0,2132578285,497189061,347524655,4340081,74592100,519600,3051116733,15049786008
31-Mar-2026,MOLI,MADUSARI MURNI INDAH Tbk,30746186,38,0,0,0,0,0,0,2734934,0,0,0,100,2583,0,0,0,0,0,1481264057,0,0,0,584,0,0,0,0,0,0,0,0,42163201,710901,1861,0,18450,583,408636223,1966279701
31-Mar-2026,MORA,MORA TELEMATIKA INDONESIA Tbk,6757800,0,0,0,0,1325321400,0,0,3747747000,0,0,0,12575100,0,1163453110,0,0,0,0,16195314349,0,0,0,0,0,0,0,0,0,0,0,0,62500,1175780800,0,0,122700,7500,19526432,23646668691
31-Mar-2026,MPIX,MITRA PEDAGANG INDONESIA Tbk,925100,0,0,0,0,0,0,0,0,0,0,0,0,2738000,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,1847200,0,0,0,0,482063808,487574308
31-Mar-2026,MPMX,MITRA PINASTHIKA MUSTIKA Tbk,20551278,15432741,32500,7502600,0,1820000,2626500,2058200,38582900,25023,0,45424600,875100,18500200,0,0,0,0,31800,2775869126,0,0,543800,41600,0,0,0,0,0,0,0,0,315900152,39527430,34821619,513900,15934300,435000,1049912907,4386963276
31-Mar-2026,MPOW,MEGAPOWER MAKMUR Tbk,76000,0,0,0,0,0,0,0,0,2027100,0,0,100,0,0,0,0,750000,0,52157989,0,0,0,0,0,0,0,0,0,0,0,0,0,366319914,0,0,0,100,395665850,816997053
31-Mar-2026,MPPA,MATAHARI PUTRA PRIMA Tbk,28710804,0,0,822500,0,42994238,0,706200,53181700,300002,0,0,2333610,1000000,98000,100000,0,0,5000,7133149062,0,100,0,29100,0,0,0,0,0,0,1148862825,0,141105100,35644947,4739700,5247500,63461316,10551,4303202174,12965704429
31-Mar-2026,MPRO,MAHA PROPERTI INDONESIA Tbk,5200,0,0,0,0,0,0,0,52800,61,0,0,100,0,0,0,0,0,0,2467675000,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,1137266800,3605000000
31-Mar-2026,MPXL,MPX LOGISTICS INTERNATIONAL Tbk,127400,0,0,0,0,0,0,0,4488400,0,0,0,0,0,0,0,0,0,20000,78112100,0,0,0,0,0,0,0,0,0,0,0,0,0,2169220,0,0,0,0,315097547,400014667
31-Mar-2026,MRAT,MUSTIKA RATU Tbk,300,0,230000,0,227200,0,0,0,1638400,0,0,0,100,0,2000,0,0,0,0,27500500,0,0,0,0,0,0,0,0,0,0,0,0,0,437500,0,0,0,0,90431100,120467100
31-Mar-2026,MREI,MASKAPAI REASURANSI INDONESIA Tbk,31894270,0,7743656,0,0,89059268,0,0,701265,4267611,0,0,115,0,0,0,0,0,0,218964147,0,0,0,0,0,0,0,86430,0,0,0,0,1808500,701451,0,13850448,77011953,34,66442276,512531424
